comparison,chosen_s2l_idx,s2l_is_summary_a
llama_3,3,True
llama_2,1,False
llama_4,2,True
llama_4,2,True
llama_4,2,True
llama_3,3,True
llama_3,1,True
llama_2,2,True
llama_3,2,True
llama_4,1,False
llama_3,2,True
llama_3,1,True
llama_2,1,True
llama_3,1,False
llama_3,1,False
llama_2,2,True
llama_3,2,False
llama_4,2,True
llama_3,2,False
llama_2,2,False
llama_4,3,False
llama_4,2,True
llama_3,2,True
llama_4,1,True
llama_3,2,False
llama_2,2,True
llama_3,3,False
llama_2,2,False
llama_2,2,True
llama_3,3,False
llama_2,2,True
llama_3,2,True
llama_3,3,False
llama_4,3,False
llama_2,1,False
llama_4,3,False
llama_3,2,True
llama_2,3,True
llama_4,1,True
llama_4,1,False
llama_3,1,False
llama_4,1,True
llama_3,1,False
llama_3,3,True
llama_3,3,False
llama_2,1,False
llama_2,2,False
llama_3,1,False
llama_2,3,False
llama_2,1,True
