source_ents,target_ents
43,5
43,12
43,9
43,12
43,12
63,8
63,9
63,14
63,14
63,12
45,10
45,11
45,12
45,13
45,12
100,11
100,12
100,15
100,13
100,14
26,7
26,11
26,11
26,11
26,11
91,4
91,8
91,9
91,11
91,15
97,7
97,11
97,9
97,9
97,11
38,1
38,3
38,4
38,3
38,4
83,12
83,8
83,8
83,10
83,13
93,9
93,14
93,13
93,13
93,16
186,10
186,11
186,8
186,11
186,13
168,7
168,9
168,9
168,9
168,13
59,7
59,9
59,9
59,11
59,15
150,8
150,11
150,9
150,11
150,15
87,5
87,6
87,8
87,6
87,9
162,2
162,6
162,10
162,11
162,13
54,6
54,8
54,9
54,9
54,9
37,7
37,10
37,10
37,12
37,13
74,5
74,9
74,12
74,10
74,12
84,10
84,10
84,12
84,17
84,18
76,1
76,3
76,4
76,3
76,2
42,2
42,7
42,10
42,10
42,10
94,10
94,9
94,12
94,12
94,13
44,4
44,10
44,11
44,8
44,10
40,6
40,12
40,14
40,12
40,17
16,5
16,6
16,6
16,6
16,6
53,5
53,8
53,6
53,8
53,8
130,12
130,10
130,13
130,16
130,17
54,2
54,4
54,6
54,9
54,12
60,3
60,6
60,5
60,5
60,5
14,5
14,4
14,3
14,2
14,2
33,5
33,8
33,10
33,9
33,10
87,5
87,6
87,8
87,9
87,10
50,4
50,5
50,3
50,6
50,7
160,6
160,11
160,14
160,15
160,14
78,9
78,13
78,14
78,14
78,13
42,5
42,9
42,11
42,11
42,14
39,11
39,10
39,15
39,17
39,18
53,5
53,8
53,7
53,10
53,10
71,8
71,10
71,14
71,14
71,16
50,4
50,5
50,5
50,7
50,10
139,8
139,11
139,12
139,13
139,14
28,3
28,6
28,6
28,7
28,7
80,3
80,10
80,7
80,8
80,7
96,4
96,7
96,7
96,11
96,13
24,7
24,6
24,6
24,7
24,8
83,9
83,7
83,10
83,8
83,9
86,10
86,13
86,15
86,15
86,16
78,3
78,6
78,8
78,8
78,10
50,9
50,10
50,11
50,11
50,12
97,4
97,7
97,8
97,8
97,9
185,7
185,10
185,10
185,13
185,13
188,7
188,11
188,12
188,13
188,16
60,9
60,12
60,14
60,12
60,15
33,5
33,7
33,8
33,8
33,10
77,5
77,9
77,8
77,10
77,11
88,8
88,12
88,14
88,13
88,13
116,4
116,8
116,9
116,8
116,8
123,7
123,8
123,12
123,16
123,19
89,6
89,6
89,5
89,6
89,5
77,7
77,9
77,12
77,15
77,18
71,3
71,9
71,12
71,11
71,11
22,3
22,6
22,9
22,14
22,12
28,3
28,6
28,10
28,9
28,8
54,7
54,14
54,14
54,15
54,17
55,8
55,8
55,10
55,9
55,13
54,7
54,9
54,13
54,15
54,17
78,7
78,12
78,12
78,8
78,10
76,9
76,10
76,8
76,8
76,10
56,12
56,10
56,16
56,22
56,24
66,5
66,7
66,9
66,11
66,11
42,11
42,9
42,11
42,13
42,12
92,7
92,7
92,9
92,12
92,10
43,6
43,8
43,9
43,9
43,11
87,10
87,13
87,13
87,14
87,14
28,2
28,6
28,7
28,10
28,8
40,2
40,5
40,5
40,8
40,10
74,3
74,7
74,7
74,8
74,9
145,1
145,5
145,6
145,7
145,7
26,5
26,9
26,10
26,11
26,10
116,7
116,9
116,11
116,13
116,17
25,3
25,5
25,5
25,5
25,6
62,7
62,9
62,14
62,11
62,14
167,12
167,16
167,14
167,16
167,15
80,2
80,6
80,9
80,11
80,13
58,10
58,10
58,11
58,14
58,17
34,7
34,8
34,9
34,11
34,18
26,9
26,10
26,13
26,11
26,10
61,4
61,5
61,7
61,10
61,12
73,5
73,7
73,9
73,12
73,12
21,3
21,5
21,7
21,9
21,9
44,16
44,15
44,19
44,21
44,25
67,4
67,10
67,9
67,10
67,11
72,10
72,11
72,12
72,12
72,14
75,5
75,9
75,10
75,14
75,17
223,5
223,8
223,9
223,11
223,13
83,9
83,7
83,8
83,10
83,12
59,7
59,7
59,9
59,9
59,10
51,5
51,8
51,10
51,7
51,9
193,17
193,17
193,19
193,22
193,24
